"longitude","latitude","total_cases","id","voronoipop","nbHF","voronoiadjpop","sampling","provnames","access","pet","pop","urban","W.access"
115.0351,40.87393,36,376,3263715.25,1,3263715.25,1,"Hebei",-1.39269123069011,0.519411396354998,0.745458964674401,1.02384701098344,-0.721819626225609
115.14583333,24.52083333,NA,48,3176993.25,1,3176993.25,0,"Guangdong",-0.10276577347519,0.35327761539356,0.930614868186721,0.652101731417473,-1.12235283178817
115.14583333,25.14583333,NA,80,5611813.5,1,5611813.5,0,"Jiangxi",-0.336663295483505,0.165184070473128,0.819231494644316,0.5555696937946,-1.23471277868737
115.14583333,26.39583333,NA,105,3806006,1,3806006,0,"Jiangxi",-0.468066957832909,-0.00698121511853335,0.830584100316775,-0.482501700463786,-1.57464194156484
115.14583333,28.89583333,NA,150,2507474.25,1,2507474.25,0,"Jiangxi",0.0108576104719013,0.0978556641562392,0.568421961513054,0.550326701743743,-2.11222809430474
115.14583333,31.39583333,NA,205,3375075.75,1,3375075.75,0,"Hubei",-0.345067974271617,0.0355794732012906,0.759823862108651,-0.482501700463786,-2.57511127883606
115.14583333,33.27083333,NA,265,5913133,1,5913133,0,"Henan",-1.11397193819305,0.442077973120745,1.92279347745352,2.01373739712368,-1.77836858738024
115.14583333,34.52083333,NA,276,3998459,1,3998459,0,"Henan",-0.763585444775089,0.651202701526692,1.72118566877533,1.51462130806234,-1.43562558314712
115.14583333,36.39583333,NA,323,7735518.5,1,7735518.5,0,"Hebei",-1.63718123581951,0.587079143248793,1.92529648192708,1.1539031825747,-1.19072573856972
115.14583333,37.64583333,NA,332,6776270.5,1,6776270.5,0,"Hebei",-2.19342179807036,0.791627015599786,1.62084711398941,1.38778379861671,-1.09148358676071
115.14583333,38.27083333,NA,348,9923916,1,9923916,0,"Hebei",-0.869340031986771,0.767396506646237,1.50466893170502,1.36467799837876,-0.992808247533846
115.14583333,39.52083333,NA,353,8030770,1,8030770,0,"Hebei",-0.0913229828586303,0.59841435630746,0.337418151075848,0.434420552836095,-0.808419516929047
115.14583333,40.14583333,NA,376,3263715.25,1,3263715.25,0,"Hebei",-1.01021887341439,0.454124851796396,0.564712783939388,-0.482501700463786,-0.731884111130347
115.14583333,41.39583333,NA,376,3263715.25,1,3263715.25,0,"Hebei",-1.0916349600402,0.340919847440188,0.326428028243134,0.852405538592654,-0.654150818830598
115.14583333,42.02083333,NA,575,952777.4375,1,952777.4375,0,"Inner Mongol",-0.485078598922373,0.188135133042485,0.157033540800153,0.641660438088216,-0.606137008397737
115.14583333,42.64583333,NA,575,952777.4375,1,952777.4375,0,"Inner Mongol",-0.732929228121492,0.345846915084235,-0.414239861768806,-0.482501700463786,-0.537755598591269
115.14583333,43.27083333,NA,401,43701.8515625,1,43701.8515625,0,"Inner Mongol",0.0513208121203528,0.395802730308679,-0.70176752236851,-0.482501700463786,-0.46131902190198
115.14583333,43.89583333,NA,401,43701.8515625,1,43701.8515625,0,"Inner Mongol",-0.0703470195778514,0.270708029337618,-0.580337920393556,-0.482501700463786,-0.384781505531099
115.14583333,45.14583333,NA,401,43701.8515625,1,43701.8515625,0,"Inner Mongol",0.185743233970888,-0.135026911356907,-0.726160560159032,-0.482501700463786,-0.275481804338518
115.1701,39.02267,42,353,8030770,1,8030770,1,"Hebei",-1.49100404349384,0.901345322887897,1.1747807558844,1.28004257189175,-0.903784135495727
115.2745,25.71368,140,80,5611813.5,1,5611813.5,1,"Jiangxi",-1.57146296456284,0.0850947669649917,1.01860221830557,0.6454102914384,-1.35627254727982
115.2794,35.80833,32,308,6009221,1,6009221,1,"Henan",-2.51002014943407,0.621048445592506,1.9501887289746,1.55362590960313,-1.24150684124065
115.3378,30.71988,1008,205,3375075.75,1,3375075.75,1,"Hubei",-1.24450563119911,0.263884363510957,1.51148256270139,1.27201810364536,-2.75529295487131
115.3716,33.88942,2,492,3875512.75,1,3875512.75,1,"Henan",-0.412420106865561,0.562112428921852,1.77962005488205,1.83051124554503,-1.58370571275905
115.4418,29.3255,220,150,2507474.25,1,2507474.25,1,"Jiangxi",-0.827852784966287,0.36677766630025,0.872794844527877,0.403361177268229,-2.30944687656638
115.5411,23.0011,8,33,3024690.5,1,3024690.5,1,"Guangdong",-0.963041234193552,0.448219404983761,1.2169591742821,0.741101476062378,-0.884413913244422
115.5438,44.24353,10,401,43701.8515625,1,43701.8515625,1,"Inner Mongol",0.281672512442076,0.192298083794081,-0.475912852104271,-0.482501700463786,-0.363892544903493
115.6914,35.15343,16,293,3795033.75,1,3795033.75,1,"Shandong",-0.951002529811365,0.652353803039071,1.71719769126799,1.43045662613343,-1.29155869732762
115.6977,34.28974,138,276,3998459,1,3998459,1,"Henan",-1.17102957198081,0.674335094697513,1.51370714042552,1.60229025899724,-1.49178468854117
115.6979,32.13325,4,484,2694488,1,2694488,1,"Henan",-0.909754643026243,0.227811700826813,1.55000196801264,1.6168239841451,-2.15051257159203
115.7036,32.9188,228,254,5716408.5,1,5716408.5,1,"Anhui",-1.23812683545423,0.445390950465521,1.67547727592457,1.63475572744187,-1.93098073618694
115.77083333,25.77083333,NA,80,5611813.5,1,5611813.5,0,"Jiangxi",-0.504883790975339,0.237243760222452,0.952112365368988,0.466907184230429,-1.33661107852446
115.77083333,26.39583333,NA,80,5611813.5,1,5611813.5,0,"Jiangxi",-0.495591395629359,0.10317996771906,1.19126603356885,1.41174175832998,-1.52736496876789
115.77083333,27.02083333,NA,111,2448353.5,1,2448353.5,0,"Jiangxi",0.0704476522096614,0.107125774513697,0.885586533886038,1.08680370732404,-1.73795237912302
115.77083333,27.64583333,NA,111,2448353.5,1,2448353.5,0,"Jiangxi",-0.787432694850611,0.144329642370786,1.1892977883616,1.36039431547904,-1.9573068913203
115.77083333,31.39583333,NA,233,2850534.25,1,2850534.25,0,"Anhui",0.206652370174858,-0.113364493440266,0.562778082173903,-0.482501700463786,-2.2656300814436
115.77083333,37.02083333,NA,319,6544572.5,2,3272286.25,0,"Hebei",-1.07187795217859,0.750980195764447,1.88604933443012,1.86763024994031,-1.07290095342805
115.77083333,38.27083333,NA,345,6692281.5,1,6692281.5,0,"Hebei",-2.30486605360877,0.859415483412186,1.42713446997638,1.31408884705979,-0.962917574159226
115.77083333,38.89583333,NA,353,8030770,1,8030770,0,"Hebei",-1.63156014330376,0.846261023976147,1.74713705956839,1.89869675984503,-0.886283925692719
115.77083333,40.77083333,NA,371,1458574,1,1458574,0,"Hebei",-0.603933607376126,0.488029704530295,0.303357472905449,0.527079186041072,-0.732086871204523
115.77083333,41.39583333,NA,376,3263715.25,1,3263715.25,0,"Hebei",-0.745618408303864,0.202380231375598,0.403131662787038,0.830183942137086,-0.65304375026605
115.77083333,42.02083333,NA,576,563555.5,1,563555.5,0,"Inner Mongol",-0.576344522474732,0.249468479524883,0.0954594734555782,0.677621224889543,-0.590054141632482
115.77083333,42.64583333,NA,576,563555.5,1,563555.5,0,"Inner Mongol",0.306156772575824,0.0423695973260867,-0.394799749546704,-0.482501700463786,-0.526460854589824
115.77083333,43.27083333,NA,600,299948.6875,1,299948.6875,0,"Inner Mongol",0.290832951809081,0.0104582397124908,-0.441404927975812,-0.482501700463786,-0.45853000266051
115.77083333,45.14583333,NA,401,43701.8515625,1,43701.8515625,0,"Inner Mongol",0.159399421940025,0.0191514463771483,-0.744113558763882,-0.482501700463786,-0.301769089418793
115.8236,37.76365,16,345,6692281.5,1,6692281.5,1,"Hebei",-1.92437401236071,0.86184725010411,1.80530448173053,1.91806453641211,-1.03185215366864
115.8797,36.45761,8,319,6544572.5,2,3272286.25,1,"Shandong",-1.34711089421528,0.702953903421262,2.20944706241061,1.8347688113416,-1.11725455199213
115.8952,36.44981,6,319,6544572.5,2,3272286.25,1,"Shandong",-1.34711089421528,0.702953903421262,2.20944706241061,1.8347688113416,-1.11725455199213
116.0257,28.66149,396,136,7003938,1,7003938,1,"Jiangxi",-2.2496288746055,0.300494757513931,2.5440319978433,2.08791374310296,-2.25171402250061
116.0288,35.27391,2,521,2494687.75,1,2494687.75,1,"Shandong",-1.3426809701782,0.712096373519789,1.89415153415044,1.9738455073653,-1.2130065735387
116.0807,24.20478,32,50,3141363.75,1,3141363.75,1,"Guangdong",-1.57883040535545,0.450803943762642,1.19432969769485,0.452153170866968,-1.04466215069425
116.1108,34.73318,2,511,3365305.75,1,3365305.75,1,"Shandong",-0.923541257315085,0.73674956977589,1.89157375243937,1.65532680318814,-1.32293835231301
116.1185,23.33707,14,39,5786634.5,1,5786634.5,1,"Guangdong",-1.7913829183611,0.526447610582139,2.452137656469,1.86820487343799,-0.93437150243789
116.1236,44.07095,4,600,299948.6875,1,299948.6875,1,"Inner Mongol",0.000951362742761639,0.206932480580068,0.148240521129695,-0.482501700463786,-0.405532641188367
116.1246,25.13598,2,434,1505053.625,1,1505053.625,1,"Fujian",-0.734828634769502,0.260989338756834,0.918201962682723,1.43723049920435,-1.13977130706459
