longitude,latitude,date,cases,Org.ID,raster_value
107.6465,31.370140000000003,2020-02-16,2,70,140.97727966308594
107.6465,31.370140000000003,2020-02-06,3,70,140.97727966308594
107.6465,31.370140000000003,2020-02-17,1,70,140.97727966308594
107.6714,36.04074,2020-02-09,1,596,388.1419372558594
107.6779,34.40641,2020-02-04,1,453,88.1424560546875
107.6779,34.40641,2020-02-02,1,453,88.1424560546875
107.7047,29.37578,2020-01-29,1,350,356.1851501464844
107.7139,30.661240000000003,2020-02-02,1,212,146.86810302734375
107.7139,30.661240000000003,2020-01-26,1,212,146.86810302734375
107.7139,30.661240000000003,2020-01-30,1,212,146.86810302734375
107.7436,37.37923,2020-02-06,1,579,105.11723327636719
107.823,29.88972,2020-01-26,1,207,424.4361572265625
107.823,29.88972,2020-01-27,2,207,424.4361572265625
107.823,29.88972,2020-02-05,3,207,424.4361572265625
107.823,29.88972,2020-02-01,1,207,424.4361572265625
107.823,29.88972,2020-01-31,1,207,424.4361572265625
107.8409,24.64574,2020-01-29,2,105,223.9274139404297
107.8409,24.64574,2020-02-14,1,105,223.9274139404297
107.8409,24.64574,2020-01-24,3,105,223.9274139404297
107.8409,24.64574,2020-02-05,2,105,223.9274139404297
107.8409,24.64574,2020-02-07,4,105,223.9274139404297
107.8409,24.64574,2020-02-21,1,105,223.9274139404297
107.8409,24.64574,2020-02-04,1,105,223.9274139404297
107.8409,24.64574,2020-02-03,2,105,223.9274139404297
107.8409,24.64574,2020-02-08,4,105,223.9274139404297
107.8409,24.64574,2020-02-18,1,105,223.9274139404297
107.8409,24.64574,2020-02-20,1,105,223.9274139404297
107.8409,24.64574,2020-01-30,1,105,223.9274139404297
107.8409,24.64574,2020-02-09,2,105,223.9274139404297
107.8716,32.51348,2020-02-06,1,517,854.5550537109375
107.8716,32.51348,2020-02-04,1,517,854.5550537109375
