"longitude","latitude","cases","raster_value"
120.0166,41.51421,2.5714285714285716,246.6070556640625
120.0575,32.57248,2.7,159.88035583496094
120.0767,31.52812,2.5625,56.54081344604492
120.1436,36.45484,2.9,80.11576843261719
120.1736,33.52337,2.125,35.503570556640625
120.1972,40.62562,2.8333333333333335,136.21185302734378
120.3645,36.11189,1.0,8.087828636169434
120.4195,36.18703,1.0,6.900932312011719
120.4404,27.90538,27.38888888888889,96.35675811767578
120.636,29.7353,3.0833333333333335,565.2018432617188
120.6418,31.378020000000006,4.533333333333333,119.1661376953125
120.7506,29.58788,2.5,217.8044586181641
120.7547,30.63995,3.0714285714285716,167.9541015625
120.8051,37.24217,3.1666666666666665,176.96450805664062
121.0053,32.1975,2.2857142857142856,84.4901123046875
121.0784,31.12558,1.0,153.2947235107422
121.1116,28.775,8.4,101.8446273803711
121.2152,31.015390000000004,1.0,27.10827827453613
121.2179,49.71785,1.6666666666666667,151.06593322753906
